Series Name,Series Code,Country Name,Country Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,26433058,27100542,27722281,28394806,29185511,30117411
"Population, total",SP.POP.TOTL,Albania,ALB,2992547,2970017,2947314,2927519,2913021,2905195
"Population, total",SP.POP.TOTL,Algeria,DZA,33641007,34166976,34730604,35333882,35977451,36661438
"Population, total",SP.POP.TOTL,American Samoa,ASM,59109,58367,57490,56675,56084,55755
"Population, total",SP.POP.TOTL,Andorra,AND,80995,82682,83860,84461,84454,83748
"Population, total",SP.POP.TOTL,Angola,AGO,20149905,20905360,21695636,22514275,23356247,24220660
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,82715,84029,85394,86743,88030,89250
"Population, total",SP.POP.TOTL,Argentina,ARG,39289876,39684303,40080159,40482786,40788453,41261490
"Population, total",SP.POP.TOTL,Armenia,ARM,2958301,2932615,2907615,2888094,2877314,2876536
"Population, total",SP.POP.TOTL,Aruba,ABW,100830,101226,101362,101452,101665,102050
"Population, total",SP.POP.TOTL,Australia,AUS,20697900,20827600,21249200,21691700,22031750,22340024
"Population, total",SP.POP.TOTL,Austria,AUT,8268641,8295487,8321496,8343323,8363404,8391643
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,8484550,8581300,8763400,8947243,9054332,9173082
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,331032,337387,343680,349600,354936,359583
"Population, total",SP.POP.TOTL,Bahrain,BHR,958423,1035924,1114645,1185075,1240864,1278153
"Population, total",SP.POP.TOTL,Bangladesh,BGD,140921154,142660381,144304164,145924795,147575433,149273134
"Population, total",SP.POP.TOTL,Barbados,BRB,277475,278701,279946,281107,282131,282987
"Population, total",SP.POP.TOTL,Belarus,BLR,9604924,9560953,9527985,9506765,9490583,9473172
"Population, total",SP.POP.TOTL,Belgium,BEL,10547958,10625700,10709973,10796493,10895586,11038264
"Population, total",SP.POP.TOTL,Belize,BLZ,291338,299031,306822,314655,322465,330236
"Population, total",SP.POP.TOTL,Benin,BEN,8216893,8454790,8696915,8944713,9199254,9460829
"Population, total",SP.POP.TOTL,Bermuda,BMU,64523,64888,65273,65636,65124,64564
"Population, total",SP.POP.TOTL,Bhutan,BTN,657404,664873,671611,678329,685502,693297
"Population, total",SP.POP.TOTL,Bolivia,BOL,9395449,9558438,9721457,9884790,10048597,10212951
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3765422,3762791,3754261,3735945,3705478,3661173
"Population, total",SP.POP.TOTL,Botswana,BWA,1835911,1875458,1915636,1953495,1987106,2015406
"Population, total",SP.POP.TOTL,Brazil,BRA,188167353,190130445,192030362,193886505,195713637,197514541
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,24022,25050,26096,27035,27796,28326
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,370262,374967,379418,383902,388634,393687
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7601022,7545338,7492561,7444443,7395599,7348328
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,13829173,14252029,14689725,15141098,15605211,16081915
"Population, total",SP.POP.TOTL,Burundi,BDI,7607850,7862226,8126104,8397661,8675606,8958406
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,469171,475067,480846,486667,492644,498858
"Population, total",SP.POP.TOTL,Cambodia,KHM,13477705,13679953,13883835,14093605,14312205,14541421
"Population, total",SP.POP.TOTL,Cameroon,CMR,18223677,18730283,19252674,19789922,20341236,20906392
"Population, total",SP.POP.TOTL,Canada,CAN,32571174,32889025,33247118,33628895,34004889,34339328
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,50729,52280,53835,55321,56672,57877
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4118075,4198004,4273368,4337623,4386765,4418639
"Population, total",SP.POP.TOTL,Chad,TCD,10457122,10818031,11183589,11560142,11952134,12360986
"Population, total",SP.POP.TOTL,Channel Islands,CHI,152999,154644,156441,158187,159718,160990
"Population, total",SP.POP.TOTL,Chile,CHL,16354507,16530201,16708255,16886184,17062531,17233584
"Population, total",SP.POP.TOTL,China,CHN,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000
"Population, total",SP.POP.TOTL,Colombia,COL,43200901,43737512,44254972,44750054,45222699,45662747
"Population, total",SP.POP.TOTL,Comoros,COM,626427,641624,657227,673251,689696,706578
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,56578046,58453687,60411195,62448572,64563853,66755151
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,3745143,3876123,4011487,4145400,4273738,4394842
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4345421,4404626,4463123,4520739,4577371,4633086
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,18754914,19171250,19605568,20059147,20532944,21028652
"Population, total",SP.POP.TOTL,Croatia,HRV,4311159,4310217,4309705,4305181,4295427,4280622
"Population, total",SP.POP.TOTL,Cuba,CUB,11261241,11251117,11236975,11226711,11225833,11236671
"Population, total",SP.POP.TOTL,Curacao,CUW,141239,144056,145880,146833,148703,150831
"Population, total",SP.POP.TOTL,Cyprus,CYP,1045508,1063708,1081568,1098089,1112617,1124837
